LCDataDictionary_full
LoanStatNew,Description,포함 여부,평가
num_actv_bc_tl,Number of currently active bankcard accounts,O,은행 발급 신용카드 몇개 살아있나
num_actv_rev_tl,Number of currently active revolving trades,O,현재 신용 계좌 몇개 살아있나
num_bc_sats,Number of satisfactory bankcard accounts,O,양호’ 상태의 은행 발급 신용카드 개수
num_bc_tl,Number of bankcard accounts,O,은행 발급 신용카드 개수 
num_il_tl,Number of installment accounts,O,할부 계좌 개수
num_op_rev_tl,Number of open revolving accounts,O,현재 열려있는 신용카드 개수
num_rev_accts,Number of revolving accounts,O,현재 신용카드 개수
num_rev_tl_bal_gt_0,Number of revolving trades with balance >0,O,사용중 잔액이 있는 신용 계좌 수
num_sats,Number of satisfactory accounts,O,양호’ 상태의 계좌 수
num_tl_120dpd_2m,Number of accounts currently 120 days past due (updated in past 2 months),O,120일 이상 연체된 계좌 수(2달 이내)
num_tl_30dpd,Number of accounts currently 30 days past due (updated in past 2 months),O,30일 이상 연체된 계좌 수(2달 이내)
num_tl_90g_dpd_24m,Number of accounts 90 or more days past due in last 24 months,O,90일 이상 
num_tl_op_past_12m,Number of accounts opened in past 12 months,O,12달 이내 개설된 계좌 수
open_acc,The number of open credit lines in the borrower's credit file.,O,신용 계좌가 열려있는 수?
open_acc_6m,Number of open trades in last 6 months,O,6개월 내 신용 거래 오픈 개수
open_il_12m,Number of installment accounts opened in past 12 months,O,12개월 내 개설된 할부 계좌
open_il_24m,Number of installment accounts opened in past 24 months,O,24개월 내 개설된 할부 계좌 
open_act_il,Number of currently active installment trades,O,6개월 내 개설된 할부 거래
open_rv_12m,Number of revolving trades opened in past 12 months,O,12개월 내 개설된 신용 거래
open_rv_24m,Number of revolving trades opened in past 24 months,O,24개월 내 개설된 신용 거래
out_prncp,Remaining outstanding principal for total amount funded,X,미상환원금은 대출 결정 이후의 데이터
out_prncp_inv,Remaining outstanding principal for portion of total amount funded by investors,X,전체 투자자 펀딩 금액 대비 미상환원금
pct_tl_nvr_dlq,Percent of trades never delinquent,O,연체한 적 없는 거래 비율
percent_bc_gt_75,Percentage of all bankcard accounts > 75% of limit.,O,전체 은행 발급 신용카드 중 사용액이 75% 초과인 계좌 수
policy_code,"publicly available policy_code=1
new products not publicly available policy_code=2",X,Lending club 정책을 나타낸 거 같은데…
pub_rec,Number of derogatory public records,O,신용기록 상 부정적인 공공기록의 개수 
pub_rec_bankruptcies,Number of public record bankruptcies,O,파산 횟수
purpose,A category provided by the borrower for the loan request. ,X,목적도 영향을 미칠 것 같기는 하나 데이터를 반영하는 게 괜찮나…?
pymnt_plan,Indicates if a payment plan has been put in place for the loan,X,대출 상환 조정 여부. 대출 후 상황이라 생각해서 포함 안했는데 모르겠다..
recoveries,post charge off gross recovery,X,대손 후 추심 금액-> 대손 됐다는 게 이미 대출 해줬다는 얘기 같아서 뺐는데..엄
revol_bal,Total credit revolving balance,O,전체 신용계좌 미상환 잔액
revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.",O,신용 사용률
sub_grade,LC assigned loan subgrade,X,Lending club의 등급 매기기 -> 결과
tax_liens,Number of tax liens,O,세금 체납으로 인한 압류 건수
term,The number of payments on the loan. Values are in months and can be either 36 or 60.,O,어쨌든 대출 기간도 신청하는 거라면 lending club의 결정이 아니니까 
title,The loan title provided by the borrower,X,이건 뭐 그냥 차입자가 입력한 이름이니까
tot_coll_amt,Total collection amounts ever owed,O,과거 추심 대상 총액
tot_cur_bal,Total current balance of all accounts,O,현재 모든 계좌의 잔액
tot_hi_cred_lim,Total high credit/credit limit,O,신용한도 총액
total_acc,The total number of credit lines currently in the borrower's credit file,O,현재 사용중 신용 거래 총 개수
total_bal_ex_mort,Total credit balance excluding mortgage,O,주택 제외 신용 계좌 현재 잔액 (대출금 총액)
total_bal_il,Total current balance of all installment accounts,O,할부 잔액
total_bc_limit,Total bankcard high credit/credit limit,O,은행 발급 신용카드 한도 총액
total_cu_tl,Number of finance trades,O,금융거래 건수
total_il_high_credit_limit,Total installment high credit/credit limit,O,할부 한도
total_pymnt,Payments received to date for total amount funded,X,대출 후 상환받은 금액
total_pymnt_inv,Payments received to date for portion of total amount funded by investors,X,대출 후 상환받은 금액 비율
total_rec_int,Interest received to date,X,대출 후 수령한 이자
total_rec_late_fee,Late fees received to date,X,회수된 연체 수수료
total_rec_prncp,Principal received to date,X,회수된 원금
total_rev_hi_lim  ,Total revolving high credit/credit limit,O,회전 신용 한도 총액
url,URL for the LC page with listing data.,X,
verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified",O,
verified_status_joint,"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified",O,
zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.,X,
revol_bal_joint ," Sum of revolving credit balance of the co-borrowers, net of duplicate balances",O,
sec_app_fico_range_low , FICO range (high) for the secondary applicant,O,
sec_app_fico_range_high , FICO range (low) for the secondary applicant,O,
sec_app_earliest_cr_line , Earliest credit line at time of application for the secondary applicant,O,보조 신청자의 가장 오래된 신용 계좌 개설 시점
